17	 18-O 	8	p	     1542.9(7)	1542.9	2.20E-09	2.20E-09	0.00E+00	4.20E-10	4.17E-10	0.00E+00
17	 18-O 	8	p	     1572.6(4)	1572.6	2.20E-09	2.20E-09	0.00E+00	4.20E-10	4.17E-10	0.00E+00
17	 18-O 	8	p	   1651.61(14)	1651.61	         5.6E-08(11)	5.60E-08	1.10E-08	        1.06E-08(21)	1.06E-08	2.08E-09
17	 18-O 	8	p	    1693.1(10)	1693.1	         5.2E-08(10)	5.20E-08	1.00E-08	         9.8E-09(19)	9.85E-09	1.89E-09
17	 18-O 	8	p	    1895.76(6)	1895.76	6.40E-09	6.40E-09	0.00E+00	1.20E-09	1.21E-09	0.00E+00
17	 18-O 	8	p	   1938.26(17)	1938.26	          3.4E-08(7)	3.40E-08	7.00E-09	         6.4E-09(13)	6.44E-09	1.33E-09
17	 18-O 	8	p	    1981.95(9)	1981.95	          2.0E-07(4)	0.0000002	4.00E-08	          3.8E-08(8)	3.79E-08	7.58E-09
17	 18-O 	8	p	    2430.68(6)	2430.68	          2.9E-08(6)	2.90E-08	6.00E-09	         5.5E-09(11)	5.49E-09	1.14E-09
17	 18-O 	8	p	   2473.29(14)	2473.29	          4.2E-08(9)	4.20E-08	9.00E-09	         8.0E-09(17)	7.96E-09	1.70E-09
17	 18-O 	8	p	    2666.4(17)	2666.4	          2.2E-08(4)	2.20E-08	4.00E-09	          4.2E-09(8)	4.17E-09	7.58E-10
17	 18-O 	8	p	     2946.6(9)	2946.6	          3.8E-08(8)	3.80E-08	8.00E-09	         7.2E-09(15)	7.20E-09	1.52E-09
17	 18-O 	8	p	     3115.4(4)	3115.4	          2.8E-08(6)	2.80E-08	6.00E-09	         5.3E-09(11)	5.30E-09	1.14E-09
17	 18-O 	8	p	   3395.39(14)	3395.39	          1.9E-08(4)	1.90E-08	4.00E-09	          3.6E-09(8)	3.60E-09	7.58E-10
17	 18-O 	8	p	     3588.5(8)	3588.5	         7.5E-08(15)	7.50E-08	1.50E-08	          1.4E-08(3)	1.42E-08	2.84E-09
17	 18-O 	8	p	   3919.98(14)	3919.98	         6.0E-09(12)	6.00E-09	1.20E-09	        1.14E-09(23)	1.14E-09	2.27E-10
17	 18-O 	8	p	    4369.23(6)	4369.23	1.70E-08	1.70E-08	0.00E+00	3.20E-09	3.22E-09	0.00E+00
19	 20-F 	9	p	   166.700(20)	166.7	        0.000413(18)	0.000413	1.80E-05	          6.6E-05(3)	6.59E-05	2.87E-06
19	 20-F 	9	p	   252.364(21)	252.364	         8.0E-06(20)	0.000008	2.00E-06	          1.3E-06(3)	1.28E-06	3.19E-07
19	 20-F 	9	p	    302.24(21)	302.24	         5.0E-06(20)	0.000005	2.00E-06	            8E-07(3)	7.98E-07	3.19E-07
19	 20-F 	9	p	   325.606(24)	325.606	          4.0E-05(3)	0.00004	3.00E-06	          6.4E-06(5)	6.38E-06	4.79E-07
19	 20-F 	9	p	   534.600(25)	534.6	        1.30E-05(20)	0.000013	2.00E-06	          2.1E-06(3)	2.07E-06	3.19E-07
19	 20-F 	9	p	     556.40(4)	556.4	         2.01E-04(8)	0.000201	8.00E-06	        3.21E-05(13)	3.21E-05	1.28E-06
19	 20-F 	9	p	   583.561(16)	583.561	         0.00356(12)	0.00356	1.20E-04	        0.000568(19)	5.68E-04	1.91E-05
19	 20-F 	9	p	   620.431(23)	620.431	        2.37E-05(18)	0.0000237	1.80E-06	          3.8E-06(3)	3.78E-06	2.87E-07
19	 20-F 	9	p	   653.144(23)	653.144	          2.0E-05(3)	0.00002	3.00E-06	          3.2E-06(5)	3.19E-06	4.79E-07
